split,model,amount,level,metric,value,pvalue
1,BVCC,0,Utterance,MSE,1.046032408311617,NaN
1,BVCC,0,System,MSE,0.4966165113619453,NaN
1,BVCC,0,Utterance,LCC,-0.0190429806455108,0.8434669461091482
1,BVCC,0,Utterance,SRCC,-0.037175458608536,0.6998086224065831
1,BVCC,0,Utterance,KTAU,-0.0211913911349988,0.7428710730284662
1,BVCC,0,System,LCC,0.2423353994302771,0.4727815530959371
1,BVCC,0,System,SRCC,0.4909090909090909,0.1252044071384953
1,BVCC,0,System,KTAU,0.3818181818181818,0.1209709696168029
1,BVCC,10,Utterance,MSE,0.5376251942249052,NaN
1,BVCC,10,System,MSE,0.227925936280044,NaN
1,BVCC,10,Utterance,LCC,0.6148032570435784,9.006002713268254e-13
1,BVCC,10,Utterance,SRCC,0.5538358888117184,3.474694567187701e-10
1,BVCC,10,Utterance,KTAU,0.3869514648981281,2.0957206249601395e-09
1,BVCC,10,System,LCC,0.8184940339478276,0.0020680869807333
1,BVCC,10,System,SRCC,0.9090909090909092,0.0001055933763036
1,BVCC,10,System,KTAU,0.7818181818181819,0.0003334435626102
1,BVCC,20,Utterance,MSE,0.4166117849652218,NaN
1,BVCC,20,System,MSE,0.1936773919255416,NaN
1,BVCC,20,Utterance,LCC,0.7562750218164815,1.2683365910090445e-21
1,BVCC,20,Utterance,SRCC,0.6871012970664269,1.1489949110632363e-16
1,BVCC,20,Utterance,KTAU,0.4977473996511928,1.3044745324161566e-14
1,BVCC,20,System,LCC,0.8792515875315698,0.0003622882742119
1,BVCC,20,System,SRCC,0.6272727272727273,0.0388452536203533
1,BVCC,20,System,KTAU,0.4545454545454545,0.0601701539201539
1,BVCC,30,Utterance,MSE,0.4457163363044367,NaN
1,BVCC,30,System,MSE,0.2073933805477102,NaN
1,BVCC,30,Utterance,LCC,0.6957849217738447,3.2765542152016404e-17
1,BVCC,30,Utterance,SRCC,0.6443986601588287,3.0625280285963974e-14
1,BVCC,30,Utterance,KTAU,0.4480227180903294,4.044344031210934e-12
1,BVCC,30,System,LCC,0.7790820229037602,0.004711065571847
1,BVCC,30,System,SRCC,0.6272727272727273,0.0388452536203533
1,BVCC,30,System,KTAU,0.4909090909090909,0.0405323573031906
1,BVCC,40,Utterance,MSE,0.3425203307356952,NaN
1,BVCC,40,System,MSE,0.200183856101341,NaN
1,BVCC,40,Utterance,LCC,0.8153751399592332,2.161480379465856e-27
1,BVCC,40,Utterance,SRCC,0.8205244958924786,5.4341022325054655e-28
1,BVCC,40,Utterance,KTAU,0.62789925071654,2.4728360797667774e-22
1,BVCC,40,System,LCC,0.8470704671236513,0.0009993455609519
1,BVCC,40,System,SRCC,0.6181818181818182,0.0426455698053266
1,BVCC,40,System,KTAU,0.4545454545454545,0.0601701539201539
1,SOMOS,0,Utterance,MSE,0.87135203394597,NaN
1,SOMOS,0,System,MSE,0.3173784027835293,NaN
1,SOMOS,0,Utterance,LCC,0.1061010350878832,0.2699392920666208
1,SOMOS,0,Utterance,SRCC,0.1368900830935711,0.1538576790354294
1,SOMOS,0,Utterance,KTAU,0.0912731570932626,0.1576687710245761
1,SOMOS,0,System,LCC,0.3767111562019349,0.2534640201682643
1,SOMOS,0,System,SRCC,0.7272727272727273,0.011204967253592
1,SOMOS,0,System,KTAU,0.5272727272727272,0.026384479717813
1,SOMOS,10,Utterance,MSE,0.6336387621992391,NaN
1,SOMOS,10,System,MSE,0.3176160429602381,NaN
1,SOMOS,10,Utterance,LCC,0.5312991721912735,2.349472252658325e-09
1,SOMOS,10,Utterance,SRCC,0.5241667530970963,4.180187292993746e-09
1,SOMOS,10,Utterance,KTAU,0.3595862039049012,2.5978721485433312e-08
1,SOMOS,10,System,LCC,0.6252018107383261,0.0396893971534011
1,SOMOS,10,System,SRCC,0.690909090909091,0.018565033381595
1,SOMOS,10,System,KTAU,0.4909090909090909,0.0405323573031906
1,SOMOS,20,Utterance,MSE,0.4395911404402056,NaN
1,SOMOS,20,System,MSE,0.2188135528962051,NaN
1,SOMOS,20,Utterance,LCC,0.6951610026982382,3.5909674699788885e-17
1,SOMOS,20,Utterance,SRCC,0.6953018984742521,3.517498050763146e-17
1,SOMOS,20,Utterance,KTAU,0.4934090046156812,2.2023450342760112e-14
1,SOMOS,20,System,LCC,0.7475047265266338,0.0081790281349854
1,SOMOS,20,System,SRCC,0.7545454545454545,0.0072820410084291
1,SOMOS,20,System,KTAU,0.6363636363636364,0.0057071709155042
1,SOMOS,30,Utterance,MSE,0.558590221786337,NaN
1,SOMOS,30,System,MSE,0.3165742285684187,NaN
1,SOMOS,30,Utterance,LCC,0.6583510139064949,5.4525897131784505e-15
1,SOMOS,30,Utterance,SRCC,0.6912128685254353,6.378214901741312e-17
1,SOMOS,30,Utterance,KTAU,0.5107625847577276,2.639437524963311e-15
1,SOMOS,30,System,LCC,0.7105521627312602,0.01425936339968
1,SOMOS,30,System,SRCC,0.6727272727272727,0.0233130398331859
