listener,level,metric,value,pvalue
1,Utterance,MSE,2.987304116569472,NaN
1,System,MSE,2.638636130393188,NaN
1,Utterance,LCC,0.5983591564402426,5.0828298841388315e-12
1,Utterance,SRCC,0.5795918183570213,3.2604585927761206e-11
1,Utterance,KTAU,0.4183213982318271,9.429130617780706e-11
1,System,LCC,0.7936387165470198,0.0035459687037215
1,System,SRCC,0.7818181818181819,0.004473162252783
1,System,KTAU,0.6727272727272727,0.0031063111271444
2,Utterance,MSE,0.6232752760628912,NaN
2,System,MSE,0.2299058401750557,NaN
2,Utterance,LCC,0.5326809597414304,2.098065710489441e-09
2,Utterance,SRCC,0.4925365059957757,4.6134297384644735e-08
2,Utterance,KTAU,0.3519105819189962,5.100880203942469e-08
2,System,LCC,0.7694638253939295,0.005621858598176
2,System,SRCC,0.6545454545454547,0.0288645989570018
2,System,KTAU,0.5272727272727272,0.026384479717813
3,Utterance,MSE,0.8424014368891658,NaN
3,System,MSE,0.3319777489045085,NaN
3,Utterance,LCC,0.5678566715300176,9.828567581396147e-11
3,Utterance,SRCC,0.549525952063021,5.063405490442172e-10
3,Utterance,KTAU,0.3939596414939545,1.0693535271814508e-09
3,System,LCC,0.8568010270370398,0.000754461158
3,System,SRCC,0.8181818181818182,0.0020831448404786
3,System,KTAU,0.7090909090909091,0.0015912097162097
4,Utterance,MSE,1.062801210409255,NaN
4,System,MSE,0.5278268693277264,NaN
4,Utterance,LCC,0.6646044837810468,2.4416943614998e-15
4,Utterance,SRCC,0.5797496089283648,3.211479480675205e-11
4,Utterance,KTAU,0.42199234787726,6.461189713945702e-11
4,System,LCC,0.9418313180393314,1.4857520029942106e-05
4,System,SRCC,0.7181818181818183,0.0127995980688584
4,System,KTAU,0.6000000000000001,0.00994553671637
5,Utterance,MSE,1.198765182437351,NaN
5,System,MSE,0.4211671363127564,NaN
5,Utterance,LCC,0.4378151989890041,1.7260512533826098e-06
5,Utterance,SRCC,0.4501539585329032,8.051559387104717e-07
5,Utterance,KTAU,0.3091940769539592,1.6972841445194177e-06
5,System,LCC,0.5619049492604151,0.0720147502790124
5,System,SRCC,0.6454545454545455,0.0319627993280174
5,System,KTAU,0.4909090909090909,0.0405323573031906
6,Utterance,MSE,0.7331893331873979,NaN
6,System,MSE,0.3017834063365898,NaN
6,Utterance,LCC,0.3501006556480373,0.0001773131182515
6,Utterance,SRCC,0.3703840622656905,6.809143023701615e-05
6,Utterance,KTAU,0.268146185464119,3.309657558124008e-05
6,System,LCC,0.53224250883056,0.0919120569620399
6,System,SRCC,0.6181818181818182,0.0426455698053266
6,System,KTAU,0.5636363636363636,0.0165405042488375
7,Utterance,MSE,0.8335162775679897,NaN
7,System,MSE,0.4406055468680687,NaN
7,Utterance,LCC,0.6560163282831857,7.324195032283454e-15
7,Utterance,SRCC,0.5552424790476951,3.0693219056125386e-10
7,Utterance,KTAU,0.4033038769550564,4.2829050707431343e-10
7,System,LCC,0.940714938207344,1.6158045136755187e-05
7,System,SRCC,0.6272727272727273,0.0388452536203533
7,System,KTAU,0.4545454545454545,0.0601701539201539
8,Utterance,MSE,1.1223576982108392,NaN
8,System,MSE,0.5437630485317245,NaN
8,Utterance,LCC,0.52520517030641,3.847018982887847e-09
8,Utterance,SRCC,0.4727270268391049,1.8422181387828773e-07
8,Utterance,KTAU,0.3268813797910448,4.18613483789454e-07
8,System,LCC,0.8051969824359123,0.0027851734103988
8,System,SRCC,0.6363636363636364,0.0352869812200622
8,System,KTAU,0.4909090909090909,0.0405323573031906
