,filename,input,dict,metric,value
0,FY-02-2515,feature,phonerec,cer,0.2666666805744171
1,FY-02-711,feature,phonerec,cer,0.2474226802587509
2,FY-02-1429,feature,phonerec,cer,0.3014705777168274
3,FY-02-1338,feature,phonerec,cer,0.3076923191547394
4,FY-02-1937,feature,phonerec,cer,0.3939394056797027
5,FY-02-2678,feature,phonerec,cer,0.3235294222831726
6,FY-02-2851,feature,phonerec,cer,0.3037036955356598
7,FY-02-2016,feature,phonerec,cer,0.375
8,FY-02-510,feature,phonerec,cer,0.3333333432674408
9,FY-02-474,feature,phonerec,cer,0.3816793859004974
10,FY-02-2509,feature,phonerec,cer,0.3650793731212616
11,FY-02-1726,feature,phonerec,cer,0.337349385023117
12,FY-02-962,feature,phonerec,cer,0.3189655244350433
13,FY-02-2853,feature,phonerec,cer,0.3975903689861297
14,FY-02-543,feature,phonerec,cer,0.3508771955966949
15,FY-02-1501,feature,phonerec,cer,0.3120000064373016
16,FY-02-2208,feature,phonerec,cer,0.3503649532794952
17,FY-02-857,feature,phonerec,cer,0.5057471394538879
18,FY-02-2499,feature,phonerec,cer,0.1770833283662796
19,FY-02-684,feature,phonerec,cer,0.4000000059604645
20,FY-02-261,feature,phonerec,cer,0.4512194991111755
21,FY-02-1092,feature,phonerec,cer,0.2474226802587509
22,FY-02-365,feature,phonerec,cer,0.4000000059604645
23,FY-02-905,feature,phonerec,cer,0.3863636255264282
24,FY-02-3075,feature,phonerec,cer,0.3461538553237915
25,FY-02-519,feature,phonerec,cer,0.3174603283405304
26,FY-02-68,feature,phonerec,cer,0.4018691480159759
27,FY-02-2616,feature,phonerec,cer,0.4318181872367859
28,FY-02-1222,feature,phonerec,cer,0.4027777910232544
29,FY-02-2384,feature,phonerec,cer,0.3308270573616028
30,FY-02-2162,feature,phonerec,cer,0.2666666805744171
31,FY-02-1888,feature,phonerec,cer,0.3235294222831726
32,FY-02-1093,feature,phonerec,cer,0.2727272808551788
33,FY-02-456,feature,phonerec,cer,0.2820512950420379
34,FY-02-3037,feature,phonerec,cer,0.2677165269851684
35,FY-02-3211,feature,phonerec,cer,0.4244604408740997
36,FY-02-1372,feature,phonerec,cer,0.3076923191547394
37,FY-02-3288,feature,phonerec,cer,0.3684210479259491
38,FY-02-24,feature,phonerec,cer,0.3162393271923065
39,FY-02-2327,feature,phonerec,cer,0.5196078419685364
40,FY-02-2573,feature,phonerec,cer,0.3253012001514435
41,FY-02-1253,feature,phonerec,cer,0.2377049177885055
42,FY-02-803,feature,phonerec,cer,0.302752286195755
43,FY-02-2069,feature,phonerec,cer,0.4109589159488678
44,FY-02-2773,feature,phonerec,cer,0.4313725531101227
45,FY-02-3192,feature,phonerec,cer,0.2424242496490478
46,FY-02-3364,feature,phonerec,cer,0.4358974397182464
47,FY-02-2337,feature,phonerec,cer,0.3287671208381653
48,FY-02-241,feature,phonerec,cer,0.3333333432674408
49,FY-02-571,feature,phonerec,cer,0.4852941036224365
50,FY-02-2574,feature,phonerec,cer,0.3720930218696594
51,FY-02-284,feature,phonerec,cer,0.3258427083492279
52,FY-02-1563,feature,phonerec,cer,0.3097345232963562
53,FY-02-599,feature,phonerec,cer,0.3827160596847534
54,FY-02-2876,feature,phonerec,cer,0.1333333402872085
55,FY-02-1529,feature,phonerec,cer,0.4000000059604645
56,FY-02-3026,feature,phonerec,cer,0.1212121248245239
57,FY-02-2769,feature,phonerec,cer,0.3478260934352875
58,FY-02-1256,feature,phonerec,cer,0.3333333432674408
59,FY-02-2508,feature,phonerec,cer,0.2363636344671249
60,FY-02-3349,feature,phonerec,cer,0.2795698940753937
61,FY-02-3295,feature,phonerec,cer,0.2857142984867096
