#,Study,Arch.,Pipeline (basis),Implementation,Mono/multi,Input type,Model note,Source lang family,Source lang,Total source lang (min),Total source lang (utterances),Source data,Target lang family,Target lang,Target lang (minutes),Target lang (utterances),Target data,Combined data,Data rate (target/combied),Metric,Criterion,Type,Value
1,A,S2S,Tacotron 2,ESPNet,Mono,Character,,Indo-Aryan,,,,0.0,Indo-Aryan,Bengali,300,,14.4,14.4,1.0,MCD,Acoustics,O,7.305
2,A,S2S,Tacotron 2,ESPNet,Mono,Character,,Indo-Aryan,,,,0.0,Indo-Aryan,Hindi,300,,14.4,14.4,1.0,MCD,Acoustics,O,7.789
3,A,S2S,Tacotron 2,ESPNet,Mono,Character,,Indo-Aryan,,,,0.0,Indo-Aryan,Odia,300,,14.4,14.4,1.0,MCD,Acoustics,O,7.501
4,A,S2S,Tacotron 2,ESPNet,Mono,Character,,Indo-Aryan,,,,0.0,Indo-Aryan,Rajasthani,300,,14.4,14.4,1.0,MCD,Acoustics,O,7.049
5,A,S2S,Tacotron 2,ESPNet,Multi,Character,Generic,Indo-Aryan,,900.0,,43.2,Indo-Aryan,Bengali,300,,14.4,57.6,0.25,MCD,Acoustics,O,7.424
6,A,S2S,Tacotron 2,ESPNet,Multi,Character,Generic,Indo-Aryan,,900.0,,43.2,Indo-Aryan,Hindi,300,,14.4,57.6,0.25,MCD,Acoustics,O,7.968
7,A,S2S,Tacotron 2,ESPNet,Multi,Character,Generic,Indo-Aryan,,900.0,,43.2,Indo-Aryan,Odia,300,,14.4,57.6,0.25,MCD,Acoustics,O,7.525
8,A,S2S,Tacotron 2,ESPNet,Multi,Character,Generic,Indo-Aryan,,900.0,,43.2,Indo-Aryan,Rajasthani,300,,14.4,57.6,0.25,MCD,Acoustics,O,6.999
9,A,S2S,Tacotron 2,ESPNet,Multi,Character,Generic with speaker embedding,Indo-Aryan,,900.0,,43.2,Indo-Aryan,Bengali,300,,14.4,57.6,0.25,MCD,Acoustics,O,7.437
10,A,S2S,Tacotron 2,ESPNet,Multi,Character,Generic with speaker embedding,Indo-Aryan,,900.0,,43.2,Indo-Aryan,Hindi,300,,14.4,57.6,0.25,MCD,Acoustics,O,7.664
11,A,S2S,Tacotron 2,ESPNet,Multi,Character,Generic with speaker embedding,Indo-Aryan,,900.0,,43.2,Indo-Aryan,Odia,300,,14.4,57.6,0.25,MCD,Acoustics,O,7.418
12,A,S2S,Tacotron 2,ESPNet,Multi,Character,Generic with speaker embedding,Indo-Aryan,,900.0,,43.2,Indo-Aryan,Rajasthani,300,,14.4,57.6,0.25,MCD,Acoustics,O,6.606
13,A,S2S,Tacotron 2,ESPNet,Mono,Phone,,Dravidian,,,,0.0,Dravidian,Kannada,300,,14.4,14.4,1.0,MCD,Acoustics,O,8.297
14,A,S2S,Tacotron 2,ESPNet,Mono,Phone,,Dravidian,,,,0.0,Dravidian,Malayalam,300,,14.4,14.4,1.0,MCD,Acoustics,O,7.562
15,A,S2S,Tacotron 2,ESPNet,Mono,Phone,,Dravidian,,,,0.0,Dravidian,Telugu,300,,14.4,14.4,1.0,MCD,Acoustics,O,8.621
16,A,S2S,Tacotron 2,ESPNet,Multi,Phone,Generic,Dravidian,,600.0,,28.8,Dravidian,Kannada,300,,14.4,43.2,0.3333333333333333,MCD,Acoustics,O,8.269
17,A,S2S,Tacotron 2,ESPNet,Multi,Phone,Generic,Dravidian,,600.0,,28.8,Dravidian,Malayalam,300,,14.4,43.2,0.3333333333333333,MCD,Acoustics,O,7.723
